"","Text","Cluster"
"302","VILLETTE_(NOVEL)_Q2449570","Cluster 3"
"303","THE_FIXED_PERIOD_Q7734312","Cluster 4"
"304","THE_LUCK_OF_BARRY_LYNDON_Q2124771","Cluster 4"
"305","THE_RIDDLE_OF_THE_SANDS_Q1170204","Cluster 3"
"306","THE_SLEEPER_AWAKES_Q650949","Cluster 3"
"307","AFTER_LONDON;_OR,_WILD_ENGLAND_noWikiID","Cluster 4"
"308","CELIBATES_noWikiID","Cluster 3"
"309","EREWHON_REVISITED_Q5385740","Cluster 3"
"310","THE_CLEVER_WOMAN_OF_THE_FAMILY_noWikiID","Cluster 2"
"311","ADELINE_MOWBRAY_Q65083334","Cluster 2"
"312","THE_STRING_OF_PEARLS_Q7767037","Cluster 2"
"313","THE_FATHER_AND_DAUGHTER_Q65052285","Cluster 4"
"314","POPULAR_TALES_noWikiID","Cluster 1"
"315","THE_DEAD_SECRET_Q16934313","Cluster 3"
"316","THE_SORROWS_OF_SATAN_Q13424700","Cluster 3"
"317","THE_HISTORY_OF_THE_FAIRCHILD_FAMILY_Q7739822","Cluster 4"
"318","THE_VILLAGE_IN_THE_JUNGLE_Q19902832","Cluster 4"
"319","THE_THREE_BROTHERS_noWikiID","Cluster 3"
"320","TALE_OF_TWO_BAD_MICE_noWikiID","Cluster 4"
"321","THE_STORY_OF_THE_TREASURE_SEEKERS_Q7766848","Cluster 4"
"322","THE_DEMI-GODS_noWikiID","Cluster 4"
"323","VARNEY_THE_VAMPIRE_Q1987925","Cluster 1"
"324","THE_KING_OF_THE_PIRATES_noWikiID","Cluster 3"
"325","NATURE_AND_ART_Q48770862","Cluster 4"
"326","THE_GORILLA_HUNTERS_Q17015740","Cluster 3"
"327","CORAL_ISLAND_Q4232653","Cluster 3"
"328","THE_INHERITORS_(CONRAD_AND_FORD_NOVEL)_Q7742035","Cluster 3"
"329","LOVE_AND_MR_LEWISHAM_Q4271834","Cluster 4"
"330","THE_AWKWARD_AGE_noWikiID","Cluster 3"
"331","TRILBY_(NOVEL)_Q1691967","Cluster 4"
"332","CHILDREN_OF_THE_GHETTO_noWikiID","Cluster 3"
"333","A_LEGEND_OF_MONTROSE_Q3549611","Cluster 4"
"334","EAST_LYNNE_Q5328900","Cluster 1"
"335","THE_ADVENTURES_OF_ANTHONY_VARNISH_noWikiID","Cluster 3"
"336","AN_OUTCAST_OF_THE_ISLANDS_Q1090444","Cluster 3"
"337","THE_PARENT'S_ASSISTANT_Q3522169","Cluster 2"
"338","THE_CASTLE_OF_WOLFENBACH_Q3520218","Cluster 3"
"339","THE_LIFE_OF_HARRIOT_STUART_noWikiID","Cluster 4"
"340","THE_GREAT_GOD_PAN_Q1394704","Cluster 4"
"341","THE_PORTRAIT_OF_MR._W._H._noWikiID","Cluster 4"
"342","TANCRED_(NOVEL)_Q7682378","Cluster 4"
"343","THE_FAIR_MAID_OF_PERTH_Q3209885","Cluster 3"
"344","REDGAUNTLET_Q3422871","Cluster 3"
"345","A_MODERN_UTOPIA_Q1249074","Cluster 4"
"346","THE_HISTORY_OF_SANDFORD_AND_MERTON_Q7739806","Cluster 3"
"347","THE_PRIVATE_PAPERS_OF_HENRY_RYECROFT_Q17027661","Cluster 3"
"348","THE_AMBASSADORS_Q650571","Cluster 3"
"349","THE_FALLEN_LEAVES_(BOOK)_Q85807134","Cluster 3"
"350","THE_LAW_AND_THE_LADY_(NOVEL)_Q3480742","Cluster 3"
"351","MY_KALULU_PRINCE,_KING,_AND_SLAVE_noWikiID","Cluster 4"
"352","LORNA_DOONE_Q3400981","Cluster 3"
"353","OUT_ON_THE_PAMPAS_noWikiID","Cluster 3"
"354","THE_WINGS_OF_A_DOVE_Q1557588","Cluster 3"
"355","THE_SPOILS_OF_POYNTON_Q3809486","Cluster 3"
"356","PETER_AND_WENDY_Q3435337","Cluster 4"
"357","CECILIA_Q3233990","Cluster 1"
"358","SKETCHES_BY_BOZ_Q2609480","Cluster 1"
"359","EUGENE_ARAM_(NOVEL)_Q16385636","Cluster 2"
"360","THE_MANXMAN_noWikiID","Cluster 3"
"361","JUDE_THE_OBSCURE_Q1248773","Cluster 3"
"362","THE_HISTORY_OF_EMILY_MONTAGUE_Q42191035","Cluster 4"
"363","MEMOIRS_OF_A_MAGDALEN_Q6815279","Cluster 4"
"364","GOING_TO_MAYNOOTH_noWikiID","Cluster 4"
"365","THE_ENTAIL_noWikiID","Cluster 4"
"366","THE_FOOL_OF_QUALITY_Q7734703","Cluster 3"
"367","FELIX_HOLT_THE_RADICAL_Q5442230","Cluster 2"
"368","THE_HISTORY_OF_SIR_CHARLES_GRANDISON_Q3521260","Cluster 3"
"369","THE_WRECKER_Q2753955","Cluster 3"
