louvain;id_A;betweenness;Source
7;2171;54840;LUISE_VON_MECKLENBURG-STRELITZ_Q156723
7;2173;12204;FERDINAND_I._(HRR)_Q150611
7;2179;139380;DHUODA_Q449846
7;2180;85236;PATER_JEROME_noWikiID
7;2352;18300;KARL_noWikiID
7;2570;6104;SIGISMUND_(HRR)_Q57124
7;2737;0;ANNA_LOUISA_KARSCH_Q469571
7;2778;6104;AENEAS_noWikiID
7;2779;12204;RICHARD_VON_CAPUA_Q982684
7;2780;0;RAFFAEL_Q5597
7;2862;0;NOAH_noWikiID
7;2865;0;WALTER_noWikiID
7;2866;18304;SIEGMUND_(ÖSTERREICH-TIROL)_Q438375
7;2870;0;PHILIPP_I._(HESSEN)_Q169319
7;3012;0;JOHANNA_(FLANDERN)_Q466311
7;3013;0;ELISABETH_VON_ÖSTERREICH-UNGARN_Q150782
7;305;6104;ANNA_noWikiID
7;306;0;MARIA_(MUTTER_JESU)_Q345
7;307;18304;KATHARINA_VON_ALEXANDRIEN_Q179718
7;33;6104;ISABELLA_I._(KASTILIEN)_Q45859
7;34;0;MANFRED_(SIZILIEN)_Q164889
7;35;12204;THEODORE_noWikiID
7;43;0;FICHTE_noWikiID
7;44;6104;FRIEDRICH_(SCHWEDEN)_Q52932
7;585;0;BUCH_JUDIT_Q202129
7;586;6104;DER_VATER_(STRINDBERG)_Q1197789
8;1151;48758;ELISE_HAMPEL_Q1330633
8;1152;0;JUDITH_noWikiID
8;1173;0;LEONORE_noWikiID
8;1174;6104;EMILIA_noWikiID
8;1259;348066;DON_CESAR_noWikiID
8;1372;0;BLUM_noWikiID
8;1373;12206;ANGELA_noWikiID
8;1445;0;CATHARINA_ELISABETH_GOETHE_Q103757
8;1531;0;MARS_noWikiID
8;1574;6104;DANILO_noWikiID
8;1575;18304;RUDOLF_VON_ÖSTERREICH-UNGARN_Q152923
8;1576;0;HANNA_noWikiID
8;1685;0;DIE_MUTTER_(BRECHT)_Q874809
8;1686;241268;ERICH_noWikiID
8;1770;0;ERDGEIST_(WEDEKIND)_Q478364
8;1771;6104;HENRIETTE_noWikiID
8;1937;0;HEINRICH_noWikiID
8;1938;6104;KARL_(HESSEN-KASSEL)_Q62516
8;1996;0;GAIUS_IULIUS_CAESAR_Q1048
8;1997;12206;GÖTZ_noWikiID
8;2015;12204;FRANZ_II._(HRR)_Q130834
8;2025;0;IPHIGENIE_noWikiID
8;2033;12204;HEINRICH_II._(FRANKREICH)_Q132545
8;2044;18300;GRETCHEN_noWikiID
8;2110;0;LERCH_noWikiID
8;2111;12206;FRANZ_(POMMERN)_Q249029
8;2262;0;DE_SILVA_noWikiID
8;2345;217480;RECHA_MEYER_Q23059571
8;2359;0;LUCRETIA_noWikiID
8;2426;24398;THEODOR_VON_TARSUS_Q504529
8;2473;0;OTTO_GESSLER_Q60909
8;2474;6104;BEN_JOCHAI_noWikiID
8;2477;0;HERMANN_I._(RAVENSBERG)_Q1405015
