"","canonisation_score","circl_sum","reviews_sum","Text","id","circl_binary","indegree","pagerank","class","reviews_binary"
"70","0.0560723413501725","0","0","DAS_ERDBEERIMAREILI_noWikiID","126","0","0","0.15","No Review & No Catalogue","0"
"402","0.0560723413501725","2","0","JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ_noWikiID","127","1","6","1.2985489302791748","No Review, Catalogue","0"
"247","0.0645339993923284","2","0","DIE_KAESEREI_IN_DER_VEHFREUDE_noWikiID","128","1","3","0.4054333977018476","No Review, Catalogue","0"
"326","0.305392408053958","0","0","ELSI,_DIE_SELTSAME_MAGD_Q1333830","129","0","1","0.1925","No Review & No Catalogue","0"
"143","0.235356216581709","1","1","DER_HUNGERPASTOR_Q1194487","13","1","9","4.6309559307867465","Review & Catalogue","1"
"395","0.0601640846066759","0","0","IN_ST._JUERGEN_Q105232019","130","0","1","0.38043044597717174","No Review & No Catalogue","0"
"396","0.0560723413501725","1","1","INNOCENS_Q1664115","131","1","4","1.306575489113847","Review & Catalogue","1"
"47","0.0560723413501725","1","0","BEATRICE_noWikiID","132","1","3","0.3548302930268653","No Review, Catalogue","0"
"188","0.0560723413501725","0","0","DER_WALDBRUNNEN_noWikiID","133","0","2","0.30028862636019865","No Review & No Catalogue","0"
"141","0.0560723413501725","0","0","DER_HEXENSABBAT_noWikiID","134","0","3","0.8549707267019866","No Review & No Catalogue","0"
"66","0.0237824899093644","0","1","DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID","135","0","3","0.534077040824411","Review, No Catalogue","1"
"132","0.0221068485323305","0","0","DER_GENIUS_noWikiID","136","0","12","4.645411393126608","No Review & No Catalogue","0"
"377","0.0205467828522686","1","0","HERMANN_VON_UNNA_noWikiID","137","1","1","0.3013218282335831","No Review, Catalogue","0"
"131","0.162696328389987","4","0","DER_GEISTERSEHER_Q1193812","138","1","5","1.8448102928410506","No Review, Catalogue","0"
"60","0.305392408053958","2","0","CÉCILE_noWikiID","139","1","10","2.95592027651904","No Review, Catalogue","0"
"256","0.0645339993923284","0","0","DIE_LEUTE_AUS_DEM_WALDE_Q1214404","14","0","11","6.553319489318826","No Review & No Catalogue","0"
"416","0.462879594039226","1","1","L'ADULTERA_Q1744488","140","1","5","2.0999225204507574","Review & Catalogue","1"
"412","0.0560723413501725","1","1","KRAMBAMBULI_(ERZAEHLUNG)_Q1385007","141","1","0","0.15","Review & Catalogue","1"
"230","0.0237824899093644","1","0","DIE_GEIER-WALLY_(ROMAN)_Q1212872","142","1","7","1.4211285103125002","No Review, Catalogue","0"
"14","0.0205467828522686","0","0","AMAZONENSCHLACHT_noWikiID","143","0","0","0.15","No Review & No Catalogue","0"
"121","0.0221068485323305","1","1","DER_BUETTNERBAUER_noWikiID","144","1","8","1.3081131900549816","Review & Catalogue","1"
"492","0.0645339993923284","1","1","RITTMEISTER_BRAND_noWikiID","145","1","6","1.4804326978576836","Review & Catalogue","1"
"43","0.0205467828522686","0","0","AUS_TROTZKOPFS_EHE_noWikiID","146","0","7","1.639972962686232","No Review & No Catalogue","0"
"418","0.0205467828522686","1","0","LA_SIBYLLE_noWikiID","147","1","1","0.1925","No Review, Catalogue","0"
"62","0.0205467828522686","1","0","CLEMENTINE_noWikiID","148","1","2","0.3606286038298061","No Review, Catalogue","0"
"403","0.0237824899093644","2","1","JENNY_noWikiID","149","1","4","0.9462411516196547","Review & Catalogue","1"
"544","0.0560723413501725","0","0","VERWORRENES_LEBEN_noWikiID","15","0","7","3.5863683134743565","No Review & No Catalogue","0"
"122","0.0560723413501725","1","2","DER_CONDOR_Q19156156","150","1","1","0.2823297755576204","Review & Catalogue","1"
"221","0.0221068485323305","0","0","DIE_EUROPAMUEDEN_noWikiID","151","0","3","0.43379445941120115","No Review & No Catalogue","0"
"536","0.0221068485323305","2","0","UNTERHALTUNGEN_MIT_EINER_HEILIGEN_noWikiID","152","1","4","0.5269918896139092","No Review, Catalogue","0"
"428","0.916343123471815","0","0","LENZ_(BUECHNER)_Q353180","153","0","2","0.27249343640799245","No Review & No Catalogue","0"
"315","0.0205467828522686","0","1","EINE_AEGYPTISCHE_KOENIGSTOCHTER_noWikiID","154","0","2","0.6052781660509795","Review, No Catalogue","1"
"153","0.768032201522249","2","1","DER_NACHSOMMER_Q167320","155","1","4","0.5036189245165005","Review & Catalogue","1"
"307","0.0560723413501725","0","0","EIN_BEKENNTNIS_noWikiID","156","0","3","0.4815964043023399","No Review & No Catalogue","0"
"508","0.0601640846066759","1","1","SCHWEIGEN_noWikiID","157","1","2","0.32895231455232965","Review & Catalogue","1"
"107","0.0601640846066759","0","0","DAS_WALDROESCHEN_noWikiID","158","0","8","1.1395765476510737","No Review & No Catalogue","0"
"145","0.0560723413501725","2","1","DER_JUNGE_TISCHLERMEISTER_Q1198964","159","1","2","0.4219353754332108","Review & Catalogue","1"
"32","0.0560723413501725","0","1","AUF_DER_UNIVERSITAET_Q15792139","16","0","3","1.6123928067497766","Review, No Catalogue","1"
"439","0.0255818179471078","3","0","MADONNA_noWikiID","160","1","2","1.5029840134806234","No Review, Catalogue","0"
"50","0.0205467828522686","0","0","BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617","161","0","2","0.4131554496694573","No Review & No Catalogue","0"
