"","canonisation_score","louvain","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","indegree","pagerank","class","reviews_binary"
"119","0.0601640846066759","8","0","0","DER_BESUCH_noWikiID","0","0.0036197170765592556","2","0.2592522973695825","No Review & No Catalogue","0"
"120","0.372234887656701","7","1","0","DER_BLONDE_ECKBERT_Q1198407","1","0.1385588115887968","3","0.5629073078923779","No Review, Catalogue","0"
"121","0.0221068485323305","1","1","1","DER_BUETTNERBAUER_noWikiID","1","4.887127520314033E-4","10","1.9178347994776068","Review & Catalogue","1"
"122","0.0560723413501725","11","1","2","DER_CONDOR_Q19156156","1","0.003144107464490265","1","0.3456062212591511","Review & Catalogue","1"
"123","0.0560723413501725","14","0","0","DER_DRAEUMLING_Q1193032","0","0.003144107464490265","0","0.15","No Review & No Catalogue","0"
"124","0.0601640846066759","9","0","0","DER_EINSAME_noWikiID","0","0.0036197170765592556","2","0.3245697534235226","No Review & No Catalogue","0"
"125","0.0205467828522686","2","2","1","DER_FALSCHE_WOLDEMAR_noWikiID","1","4.2217028557827894E-4","8","1.6210696481606264","Review & Catalogue","1"
"126","0.0560723413501725","6","2","0","DER_FAUST_DER_MORGENLAENDER_noWikiID","1","0.003144107464490265","3","0.4092011828644846","No Review, Catalogue","0"
"127","0.0560723413501725","5","2","0","DER_FINDLING_noWikiID","1","0.003144107464490265","0","0.15","No Review, Catalogue","0"
"128","0.0205467828522686","2","1","0","DER_FREIHOF_VON_AARAU_noWikiID","1","4.2217028557827894E-4","10","1.8439220219506376","No Review, Catalogue","0"
"129","0.0601640846066759","11","0","0","DER_FROMME_SPRUCH_noWikiID","0","0.0036197170765592556","2","0.28074452380825354","No Review & No Catalogue","0"
"130","0.0741722353260478","1","0","0","DER_GEHUELFE_Q1193785","0","0.005501520493262613","3","0.5159980138435913","No Review & No Catalogue","0"
"131","0.162696328389987","6","4","0","DER_GEISTERSEHER_Q1193812","1","0.026470095271582485","3","0.4814007257592795","No Review, Catalogue","0"
"132","0.0221068485323305","6","0","0","DER_GENIUS_noWikiID","0","4.887127520314033E-4","17","3.4719172559216323","No Review & No Catalogue","0"
"133","0.0975111340573339","0","6","1","DER_GOLDNE_SPIEGEL_noWikiID","1","0.009508421265147343","8","1.2856074998943898","Review & Catalogue","1"
"134","0.321481356814517","9","3","0","DER_GOLDNE_TOPF_Q785009","1","0.1033502627793028","2","0.35703088489423396","No Review, Catalogue","0"
"135","0.0560723413501725","9","1","0","DER_GOTTSUCHER_Q55978264","1","0.003144107464490265","16","3.34299249827239","No Review, Catalogue","0"
"136","0.988875593155002","14","2","1","DER_GRUENE_HEINRICH_Q1198871","1","0.977874938737657","19","4.456015333792446","Review & Catalogue","1"
"137","0.144732511897424","5","1","2","DER_HEILIGE_Q1194176","1","0.02094750000013798","6","0.8975679703081777","Review & Catalogue","1"
"138","0.0601640846066759","1","0","0","DER_HEIZER_noWikiID","0","0.0036197170765592556","2","0.42151481888035125","No Review & No Catalogue","0"
"139","0.0601640846066759","12","1","1","DER_HERR_ETATSRAT_Q15805136","1","0.0036197170765592556","0","0.15","Review & Catalogue","1"
"140","0.0205467828522686","9","0","1","DER_HEXENMEISTER_noWikiID","0","4.2217028557827894E-4","0","0.15","Review, No Catalogue","1"
"141","0.0560723413501725","3","0","0","DER_HEXENSABBAT_noWikiID","0","0.003144107464490265","3","0.867198304926745","No Review & No Catalogue","0"
"142","0.259978377605495","11","3","0","DER_HOCHWALD_Q1194364","1","0.06758875682238535","7","1.2183809804839498","No Review, Catalogue","0"
"143","0.235356216581709","1","1","1","DER_HUNGERPASTOR_Q1194487","1","0.05539254868365631","8","2.253887164959075","Review & Catalogue","1"
"144","0.0221068485323305","0","1","1","DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER_noWikiID","1","4.887127520314033E-4","10","1.3231932264216133","Review & Catalogue","1"
"145","0.0560723413501725","14","2","1","DER_JUNGE_TISCHLERMEISTER_Q1198964","1","0.003144107464490265","8","1.3705916993559912","Review & Catalogue","1"
"146","0.0560723413501725","9","0","0","DER_JUNKER_VON_DENOW_Q1194662","0","0.003144107464490265","4","0.5572844651330131","No Review & No Catalogue","0"
"147","0.0560723413501725","9","0","0","DER_KLEINE_HAEWELMANN_Q1199225","0","0.003144107464490265","0","0.15","No Review & No Catalogue","0"
"148","0.0205467828522686","9","1","0","DER_KOENIG_DER_BERNINA_noWikiID","1","4.2217028557827894E-4","4","0.6632418051727116","No Review, Catalogue","0"
"149","0.0560723413501725","0","0","0","DER_LANDPREDIGER_Q1195163","0","0.003144107464490265","2","0.3962589273872921","No Review & No Catalogue","0"
"150","0.305392408053958","14","1","0","DER_LANDVOGT_VON_GREIFENSEE_Q1195171","1","0.0932645228969952","8","1.4135729414869238","No Review, Catalogue","0"
"151","0.0601640846066759","5","0","0","DER_MAGNETISEUR_(E._T._A._HOFFMANN)_Q15456531","0","0.0036197170765592556","2","0.30471204968179755","No Review & No Catalogue","0"
"152","0.0221068485323305","13","0","0","DER_MAJOR_noWikiID","0","4.887127520314033E-4","5","0.9334273285160428","No Review & No Catalogue","0"
"153","0.768032201522249","14","2","1","DER_NACHSOMMER_Q167320","1","0.5898734625751125","8","1.5174903300579492","Review & Catalogue","1"
"154","0.0560723413501725","8","0","0","DER_POJAZ_Q1196233","0","0.003144107464490265","1","0.1755","No Review & No Catalogue","0"
"155","0.0221068485323305","2","0","0","DER_POSTEN_DER_FRAU_noWikiID","0","4.887127520314033E-4","0","0.15","No Review & No Catalogue","0"
"156","0.0560723413501725","11","0","0","DER_PRINZ_VON_THEBEN_noWikiID","0","0.003144107464490265","2","0.49959569337501275","No Review & No Catalogue","0"
"157","0.0560723413501725","6","0","0","DER_PSYCHOLOGE_noWikiID","0","0.003144107464490265","0","0.15","No Review & No Catalogue","0"
"158","0.259978377605495","2","0","0","DER_RABBI_VON_BACHERACH_noWikiID","0","0.06758875682238535","1","0.23497080041222945","No Review & No Catalogue","0"
"159","0.0255818179471078","10","1","1","DER_RANGIERBAHNHOF_noWikiID","1","6.544294094789668E-4","8","1.2506138488276528","Review & Catalogue","1"
"160","0.0205467828522686","2","0","0","DER_RAUBGRAF_noWikiID","0","4.2217028557827894E-4","10","1.645435855967922","No Review & No Catalogue","0"
"161","0.0560723413501725","1","0","0","DER_REBELL_noWikiID","0","0.003144107464490265","12","2.555243069746483","No Review & No Catalogue","0"
"162","0.0255818179471078","0","0","0","DER_REDLICHE_MANN_AM_HOFE_noWikiID","0","6.544294094789668E-4","12","1.2707043962863964","No Review & No Catalogue","0"
"163","0.0205467828522686","9","2","1","DER_ROLAND_VON_BERLIN_noWikiID","1","4.2217028557827894E-4","10","2.4028746654456032","Review & Catalogue","1"
"164","0.481513882543301","7","1","0","DER_RUNENBERG_Q1196568","1","0.2318556190819239","3","0.615259231495498","No Review, Catalogue","0"
"165","0.0645339993923284","6","0","0","DER_SADDUZAEER_VON_AMSTERDAM_noWikiID","0","0.004164637077569042","3","0.45552301678591073","No Review & No Catalogue","0"
"166","0.848215508034503","5","2","1","DER_SANDMANN_(HOFFMANN)_Q798227","1","0.71946954807023","2","0.4545645285579925","Review & Catalogue","1"
"167","0.0221068485323305","4","0","0","DER_SATYR_MOPSUS_noWikiID","0","4.887127520314033E-4","7","1.3012704670641535","No Review & No Catalogue","0"
"168","0.0560723413501725","13","1","0","DER_SCHATZ_IM_SILBERSEE_Q249905","1","0.003144107464490265","4","0.4402708362832948","No Review, Catalogue","0"
"169","0.0560723413501725","5","0","0","DER_SCHATZ_noWikiID","0","0.003144107464490265","1","0.21439664154571558","No Review & No Catalogue","0"
"170","0.827943039612669","9","1","2","DER_SCHIMMELREITER_Q895730","1","0.6854896768430656","17","4.313783010033991","Review & Catalogue","1"
"171","0.274620702296579","14","2","0","DER_SCHMIED_SEINES_GLUECKS_noWikiID","1","0.07541653012986625","1","0.3502561667106475","No Review, Catalogue","0"
"172","0.119112826840361","14","1","1","DER_SCHUEDDERUMP_Q1196819","1","0.014187865517901823","9","1.616029846913336","Review & Catalogue","1"
"173","0.0794735706665683","5","1","0","DER_SCHUSS_VON_DER_KANZEL_Q1196769","1","0.006316048434494024","2","0.4683317558346194","No Review, Catalogue","0"
"174","0.0237824899093644","14","0","0","DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE_noWikiID","0","5.656068262890195E-4","0","0.15","No Review & No Catalogue","0"
"175","0.0205467828522686","10","1","0","DER_SELBSTMOERDER_noWikiID","1","4.2217028557827894E-4","3","0.3388533971954335","No Review, Catalogue","0"
"176","0.0205467828522686","8","1","1","DER_SONNENWIRT_noWikiID","1","4.2217028557827894E-4","6","1.3971289882365883","Review & Catalogue","1"
"177","0.904141522122553","12","1","1","DER_STECHLIN_(ROMAN)_Q1197130","1","0.817471892026087","18","2.539034168907608","Review & Catalogue","1"
"178","0.0601640846066759","9","1","2","DER_STERNSTEINHOF_noWikiID","1","0.0036197170765592556","4","0.5447192832604962","Review & Catalogue","1"
"179","0.0255818179471078","4","4","0","DER_TOD_ABELS_noWikiID","1","6.544294094789668E-4","7","1.2230000933582998","No Review, Catalogue","0"
"180","0.0911257006455229","15","1","0","DER_TOD_GEORGS_noWikiID","1","0.008303893318137454","2","0.7156474413972763","No Review, Catalogue","0"
"181","0.0645339993923284","2","0","0","DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU_Q1199666","0","0.004164637077569042","0","0.15","No Review & No Catalogue","0"
"182","0.0601640846066759","12","0","0","DER_TORSO_noWikiID","0","0.0036197170765592556","2","0.24569649135163998","No Review & No Catalogue","0"
