"louvain","","canonisation_score","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","pagerank","indegree","class","reviews_binary"
"14","144","0.0477757206414661","1","0","FIVE_CHILDREN_AND_IT_noWikiID","1","0.0022825194828114104","1.392885877110431","9","No Review, Catalogue","0"
"11","145","0.141170686071351","0","0","FLATLAND_noWikiID","0","0.019929162605855935","0.5028029465750613","2","No Review & No Catalogue","0"
"4","146","0.0477757206414661","1","0","FOR_THE_TERM_OF_HIS_NATURAL_LIFE_noWikiID","1","0.0022825194828114104","0.525004885158315","2","No Review, Catalogue","0"
"15","147","0.11291791638611","1","0","FORTUNATE_FOUNDLINGS_noWikiID","1","0.012750455840980529","0.8138350428203178","4","No Review, Catalogue","0"
"1","148","0.985957888404111","1","1","FRANKENSTEIN_Q150827","1","0.9721129577062935","1.2275059999615032","9","Review & Catalogue","1"
"12","149","0.0477757206414661","1","0","GHETTO_TRAGEDIES_noWikiID","1","0.0022825194828114104","0.5597516812782048","2","No Review, Catalogue","0"
"1","150","0.0566567958260902","1","1","GLENARVON_Q3771960","1","0.003209992513279272","1.6053143377710546","8","Review & Catalogue","1"
"0","151","0.0477757206414661","1","0","GOING_TO_MAYNOOTH_noWikiID","1","0.0022825194828114104","0.15","0","No Review, Catalogue","0"
"14","152","0.117501066676145","0","1","GRANNY'S_WONDERFUL_CHAIR_noWikiID","0","0.013806500670031873","0.15","0","Review, No Catalogue","1"
"4","153","0.706633180000831","2","1","GREAT_EXPECTATIONS_Q219552","1","0.49933045107808677","3.5472734372110586","15","Review & Catalogue","1"
"8","154","0.971587266152791","3","1","GULLIVER'S_TRAVELS_Q181488","1","0.9439818157502543","1.499726765858814","10","Review & Catalogue","1"
"6","155","0.172694745758032","2","3","GUY_MANNERING_Q2288976","1","0.029823475212431314","1.6151271446662991","10","Review & Catalogue","1"
"7","156","0.0477757206414661","0","0","HALF_A_LIFE-TIME_AGO_noWikiID","0","0.0022825194828114104","0.33463796477495106","1","No Review & No Catalogue","0"
"4","157","0.0566567958260902","2","1","HARD_CASH_(NOVEL)_Q30314349","1","0.003209992513279272","0.9630472855161724","6","Review & Catalogue","1"
"4","158","0.706633180000831","1","1","HARD_TIMES_(NOVEL)_Q1340493","1","0.49933045107808677","1.2821858036808849","4","Review & Catalogue","1"
"1","159","0.11291791638611","2","0","HARRINGTON_noWikiID","1","0.012750455840980529","0.6276441484532767","4","No Review, Catalogue","0"
"5","160","0.049863479389024","1","0","HAUNTINGS_noWikiID","1","0.0024863665767796217","0.2996890537625075","2","No Review, Catalogue","0"
"0","161","0.353247063375283","2","0","HE_KNEW_HE_WAS_RIGHT_noWikiID","1","0.1247834877832612","3.976462827154282","15","No Review, Catalogue","0"
"11","162","0.049863479389024","2","3","HEADLONG_HALL_Q5689829","1","0.0024863665767796217","0.33690527218174027","2","Review & Catalogue","1"
"10","163","0.127152048513252","1","0","HEART_AND_SCIENCE_noWikiID","1","0.016167643441116385","0.9504841872602533","6","No Review, Catalogue","0"
"9","164","0.75930721969968","0","0","HEART_OF_DARKNESS_Q129778","0","0.5765474538880581","1.3499951485766428","8","No Review & No Catalogue","0"
"7","165","0.0477757206414661","1","0","HELBECK_OF_BANNISDALE_Q19572074","1","0.0022825194828114104","0.3340033910552556","1","No Review, Catalogue","0"
"1","166","0.11291791638611","1","2","HELEN_noWikiID","1","0.012750455840980529","2.399513206420333","13","Review & Catalogue","1"
"4","167","0.0477757206414661","1","0","HENRY_DUNBAR_noWikiID","1","0.0022825194828114104","0.5155166625994518","3","No Review, Catalogue","0"
"12","168","0.122244604531682","1","1","HEREWARD_THE_WAKE_(NOVEL)_Q5738318","1","0.014943743337107327","2.012926100811385","11","Review & Catalogue","1"
"13","169","0.0477757206414661","0","2","HERMSPRONG_Q5742104","0","0.0022825194828114104","0.7967119323786431","5","Review, No Catalogue","1"
"7","170","0.135806373618849","1","0","HESTER_noWikiID","1","0.018443371115502406","4.348451099813994","20","No Review, Catalogue","0"
"4","171","0.285047546124646","2","0","HIDE_AND_SEEK_noWikiID","1","0.08125210355168219","1.3765320274130137","6","No Review, Catalogue","0"
"8","172","0.11291791638611","0","0","HISTORY_OF_JOHN_BULL_noWikiID","0","0.012750455840980529","0.28572542749461505","2","No Review & No Catalogue","0"
"4","173","0.0566567958260902","0","2","HOLIDAY_HOUSE_noWikiID","0","0.003209992513279272","0.23080028168554173","1","Review, No Catalogue","1"
"5","174","0.16636459934805","0","1","HOWARDS_END_Q1146642","0","0.0276771799162372","2.1641138616935423","12","Review, No Catalogue","1"
"11","175","0.0543008598413405","0","1","HYMNS_IN_PROSE_FOR_CHILDREN_Q9005648","0","0.002948583379508905","0.15","0","Review, No Catalogue","1"
"6","176","0.127152048513252","0","0","IMAGINARY_PORTRAITS_noWikiID","0","0.016167643441116385","0.15","0","No Review & No Catalogue","0"
"11","177","0.117501066676145","0","0","IMPRESSIONS_OF_THEOPHRASTUS_SUCH_Q6007633","0","0.013806500670031873","0.758107267384503","4","No Review & No Catalogue","0"
"4","178","0.30372380755444","1","0","IN_A_GLASS_DARKLY_Q6011356","1","0.09224815127536651","0.40294321278082984","2","No Review, Catalogue","0"
"7","179","0.117501066676145","1","0","IN_THE_YEAR_OF_JUBILEE_Q19572195","1","0.013806500670031873","2.3290014525749223","9","No Review, Catalogue","0"
"4","180","0.0616594855735503","2","1","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852","1","0.0038018921611948572","1.7886627091849294","6","Review & Catalogue","1"
"6","181","0.706633180000831","2","3","IVANHOE_Q840974","1","0.49933045107808677","1.4762902510469469","12","Review & Catalogue","1"
"4","182","0.049863479389024","0","1","JACK_SHEPPARD_noWikiID","0","0.0024863665767796217","0.7630437116235126","3","Review, No Catalogue","1"
"7","183","0.993700367636865","2","1","JANE_EYRE_Q182961","1","0.9874404206416406","2.64113123098697","12","Review & Catalogue","1"
"2","184","0.0591085593605752","1","0","JESSICA'S_FIRST_PRAYER_noWikiID","1","0.003493821789682642","0.15","0","No Review, Catalogue","0"
"10","185","0.285047546124646","1","0","JEZEBEL'S_DAUGHTER_noWikiID","1","0.08125210355168219","1.2126733577374735","10","No Review, Catalogue","0"
"2","186","0.11291791638611","1","0","JOHN_BURNET_OF_BARNS_noWikiID","1","0.012750455840980529","0.24414513490816767","1","No Review, Catalogue","0"
"7","187","0.132226821715085","2","1","JOHN_HALIFAX_GENTLEMAN_Q6237289","1","0.01748393238087288","3.0201008977178585","14","Review & Catalogue","1"
"8","188","0.30372380755444","1","0","JONATHAN_WILD_noWikiID","1","0.09224815127536651","0.7435491132764276","6","No Review, Catalogue","0"
"12","189","0.117501066676145","1","0","JORROCK'S_JAUNTS_AND_JOLLITIES_noWikiID","1","0.013806500670031873","0.15","0","No Review, Catalogue","0"
"8","190","0.294299317623214","2","0","JOSEPH_ANDREWS_Q784226","1","0.0866120883534894","1.4845957900184332","10","No Review, Catalogue","0"
"7","191","0.573104135313384","1","1","JUDE_THE_OBSCURE_Q1248773","1","0.3284483499133016","0.8986967145669529","4","Review & Catalogue","1"
"14","192","0.294299317623214","1","0","JUST_SO_STORIES_Q1247723","1","0.0866120883534894","0.447534489784329","2","No Review, Catalogue","0"
