"","circl_sum","Text","canonisation_score","reviews_sum","id","circl_binary","betweenness","indegree","pagerank","class","reviews_binary"
"227","1","MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC_Q6785376","0.0477757206414661","0","246","1","14388.788150190969","3","0.40058607989620587","No Review, Catalogue","0"
"66","0","AYESHA_(NOVEL)_Q2604590","0.142891468333576","1","247","0","23.5070353690515","1","0.1925","Review, No Catalogue","1"
"122","1","DRACULA_Q41542","0.964677124546833","1","248","1","2702.7720622822185","6","1.0635422239270418","Review & Catalogue","1"
"72","1","BLIND_LOVE_noWikiID","0.11291791638611","0","249","1","57.51851840969488","2","0.398907984353996","No Review, Catalogue","0"
"520","1","THE_MYSTERY_OF_A_HANSOM_CAB_noWikiID","0.0477757206414661","0","25","1","0","0","0.15","No Review, Catalogue","0"
"115","1","DEMOS_noWikiID","0.0543008598413405","1","250","1","1752.840906147253","12","2.329771829236548","Review & Catalogue","1"
"642","1","THYRZA_noWikiID","0.127152048513252","0","251","1","393.989239254026","5","3.467132081515385","No Review, Catalogue","0"
"593","0","THE_TAILOR_OF_GLOUCESTER_noWikiID","0.11291791638611","0","252","0","76.6755772005772","2","0.235","No Review & No Catalogue","0"
"595","1","THE_TALE_OF_PETER_RABBIT_Q580463","0.137472234822425","0","253","1","785.9338203463203","3","0.3015833333333333","No Review, Catalogue","0"
"257","1","NOUGHTS_&_CROSSES_noWikiID","0.0477757206414661","0","254","1","465.3690267612933","4","0.4561898647873809","No Review, Catalogue","0"
"504","1","THE_MARTIAN_noWikiID","0.11291791638611","0","255","1","162.33983975445543","2","0.3165682274093382","No Review, Catalogue","0"
"427","3","THE_FORTUNES_OF_NIGEL_Q3230799","0.117501066676145","2","256","1","76.29313636174763","3","1.0024615356232114","Review & Catalogue","1"
"292","2","ROB_ROY_Q2156104","0.605736576985184","2","257","1","1676.4296699666827","7","3.034149141449292","Review & Catalogue","1"
"295","3","ROBINSON_CRUSOE_Q483034","0.930072496067797","0","258","1","3529.210551137365","6","2.0699012196405935","No Review, Catalogue","0"
"172","0","HISTORY_OF_JOHN_BULL_noWikiID","0.11291791638611","0","259","0","243.5855700592643","4","1.727246214571485","No Review & No Catalogue","0"
"278","1","PHILISTIA_noWikiID","0.0477757206414661","0","26","1","5.681818181818182","1","0.1925","No Review, Catalogue","0"
"138","0","EXILUS_noWikiID","0.11291791638611","0","260","0","102.7500486612482","4","1.4365735760394505","No Review & No Catalogue","0"
"33","0","A_TALE_OF_A_TUB_Q2353123","0.46129393099787","0","261","0","1912.203505886402","4","1.7310640481150348","No Review & No Catalogue","0"
"401","2","THE_DOCTOR'S_WIFE_(MOORE_NOVEL)_Q7730467","0.204901193890185","1","262","1","505.1909232090225","3","0.3880951454689531","Review & Catalogue","1"
"264","1","ORLEY_FARM_(NOVEL)_Q16962094","0.117501066676145","1","263","1","6056.32172192189","9","3.9201449068514966","Review & Catalogue","1"
"509","2","THE_MILL_ON_THE_FLOSS_Q1215018","0.7830931596165","1","264","1","1911.1487993988012","5","1.5786577266529123","Review & Catalogue","1"
"229","1","MAX_noWikiID","0.0477757206414661","0","265","1","0","0","0.15","No Review, Catalogue","0"
"269","4","PAMELA_OR_VIRTUE_REWARDED_Q2048624","0.84402409531542","0","266","1","8753.338002824285","7","3.299243938822207","No Review, Catalogue","0"
"190","2","JOSEPH_ANDREWS_Q784226","0.294299317623214","0","267","1","1291.9124572109279","7","2.333904351620837","No Review, Catalogue","0"
"664","1","WAVERLEY_Q678251","0.999388623975874","2","268","1","689.2987249922044","5","2.469527624336463","Review & Catalogue","1"
"155","2","GUY_MANNERING_Q2288976","0.172694745758032","3","269","1","252.18844738565824","6","2.5472930946481966","Review & Catalogue","1"
"516","1","THE_MUMMER'S_WIFE_Q42186018","0.11291791638611","0","27","1","1243.0459409259688","12","1.6125264089831473","No Review, Catalogue","0"
