;wikiname;0
477;THE_CARVED_LIONS;1
478;WAYFARERS;1
479;FIVE_CHILDREN_AND_IT;1
480;THE_GOLDEN_AGE;1
481;THE_TALE_OF_MR_JEREMY_FISHER;1
482;WILD_ANIMALS_I_HAVE_KNOWN;1
483;THE_LIGHT_PRINCESS;1
484;EMMELINE;5
485;THE_HISTORY_OF_SIR_CHARLES_GRANDISON;2
486;THE_HISTORY_OF_MISS_BETSY_THOUGHTLESS;1
487;A_PATCH-WORK_SCREEN_FOR_THE_LADIES;1
488;EXILUS;1
489;FANTOMINA;1
490;LOVE_INTRIGUES;1
491;THE_OLD_MANOR_HOUSE;6
492;THE_ADVENTURES_OF_RIVELLA;1
493;THE_HISTORY_OF_THE_NUN;2
494;MILLENIUM_HALL;3
495;THE_HISTORY_OF_THE_COUNTESS_OF_DELLWYN;2
496;THE_ADVENTURES_OF_DAVID_SIMPLE;4
497;JOSEPH_ANDREWS;2
498;A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION;1
499;MEMOIRS_OF_A_MAGDALEN;2
500;VERTUE_REWARDED;1
501;THE_LANCASHIRE_WITCHES;1
502;HISTORY_OF_JOHN_BULL;1
503;DIANA_OF_THE_CROSSWAYS;1
504;THE_LOUGH_DERG_PILGRIM;1
505;THE_TITHE_PROCTOR;1
506;CASTLE_RICHMOND;2
507;COCK_AND_ANCHOR;1
508;WILLING_TO_DIE;1
509;THE_TENANTS_OF_MALORY;1
510;THE_EVIL_GUEST;1
511;THE_PURCELL_PAPERS;1
512;LEVER'S_LORD_KILGOBBIN;1
513;THE_POINT_OF_VIEW;1
514;NIGHT_AND_MORNING;1
515;A_SPORTSMAN'S_SKETCHES;1
516;MAX;1
517;DAUGHTERS_OF_MEN;1
518;STORIES_OF_RED_HANRAHAN;1
519;THE_SECRET_ROSE;1
520;THE_DEMI-GODS;1
521;THE_COMING_OF_CUCULAIN;1
522;THE_THREE_BROTHERS;1
523;SUNRISE;1
524;THE_GENTLEMAN;1
525;CHARLOTTE_TEMPLE;1
526;A_SICILIAN_ROMANCE;5
527;A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT;1
528;THE_ADVENTURES_OF_PEREGRINE_PICKLE;2
529;SANDITON;3
530;THE_HORRORS_OF_OAKENDALE_ABBEY;1
531;THE_CASTLES_OF_ATHLIN_AND_DUNBAYNE;1
532;THE_HEROINE;2
533;MARIA_OR_THE_WRONGS_OF_WOMAN;2
534;THE_SHADOW_OF_ASHLYDYAT;1
535;ST_MARTIN'S_EVE;1
536;EUGENE_ARAM_(NOVEL);1
537;IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);1
538;HENRY_DUNBAR;1
539;THE_NOTTING_HILL_MYSTERY;1
540;BLIND_LOVE;1
541;JACK_SHEPPARD;2
542;THE_LIGHTHOUSE;2
543;NO_THOROUGHFARE;1
544;JEZEBEL'S_DAUGHTER;1
545;THE_OUTCAST;1
546;THE_PERILS_OF_CERTAIN_ENGLISH_PRISONERS;1
547;SALEM_CHAPEL;3
548;THE_TRAIL_OF_THE_SERPENT;1
549;THE_DEAD_SECRET;1
550;BROKEN_TO_HARNESS;1
551;THE_FALLEN_LEAVES_(BOOK);1
552;THE_NEW_MAGDALEN;1
553;HARD_CASH_(NOVEL);1
554;THE_EXPERIENCES_OF_LOVEDAY_BROOKE,_LADY_DETECTIVE;1
555;ZULEIKA_DOBSON;2
556;THE_VILLAGE_IN_THE_JUNGLE;1
557;RED_POTTAGE;3
558;WITH_THE_NIGHT_MAIL;1
559;THE_WORLD_SET_FREE;1
560;THE_WAR_IN_THE_AIR;1
561;ACTIONS_AND_REACTIONS;1
562;THE_GOLDEN_BOWL;3
563;THE_LONGEST_JOURNEY;1
564;THE_GRIM_SMILE_OF_THE_FIVE_TOWNS;1
565;THE_DARK_FLOWER;1
566;THE_THORN_IN_THE_FLESH;1
567;THE_MIRROR_OF_THE_SEA;1
568;LOST_DIARIES;1
569;THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD;1
570;SANDERS_OF_THE_RIVER;1
571;PANDORA;1
572;THE_JOLLY_CORNER;1
573;THE_MARTIAN;1
574;THE_GREEN_CARNATION;1
575;HELBECK_OF_BANNISDALE;1
576;THE_WELL_AT_THE_WORLD'S_END;1
577;PHILISTIA;1
578;RUJUB_THE_JUGGLER;1
579;THE_BRITISH_BARBARIANS;1
580;THE_GREAT_TABOO;1
581;A_STORY_OF_THE_STONE_AGE;1
582;THE_SECOND_JUNGLE_BOOK;1
583;ESTHER_WATERS;1
584;THE_FORTUNES_OF_NIGEL;1
585;THE_CASTLE_OF_WOLFENBACH;2
586;THE_KING'S_OWN;1
587;THE_MISFORTUNES_OF_ELPHIN;1
588;CROTCHET_CASTLE;1
589;MEMOIRS_OF_A_CAVALIER;2
590;THE_PIRATE_(NOVEL);1
591;A_LEGEND_OF_MONTROSE;1
592;ANTAR;1
593;SECRESY;1
594;HERMSPRONG;1
595;THE_ADVENTURES_OF_HUGH_TREVOR;1
596;QUENTIN_DURWARD;2
597;WET_MAGIC;1
598;MATHILDA;1
599;THE_INTERESTING_NARRATIVE_OF_THE_LIFE_OF_OLAUDAH_EQUIANO;3
600;THE_AYRSHIRE_LEGATEES;1
601;A_ROMANCE_OF_TWO_WORLDS;2
602;HALF_A_LIFE-TIME_AGO;1
603;THE_QUIET_HEART;1
604;THE_EXECUTOR;1
605;DEERBROOK;1
606;FOR_THE_TERM_OF_HIS_NATURAL_LIFE;1
607;THE_WOULDBEGOODS;1
608;THE_CROWN_OF_SUCCESS;1
609;MOPSA_THE_FAIRY;1
610;THE_LITTLE_LAME_PRINCE_AND_HIS_TRAVELLING_CLOAK;1
611;THE_ADVENTURES_OF_A_BROWNIE;1
612;THE_STORY_OF_THE_TREASURE_SEEKERS;1
613;SYLVIE_AND_BRUNO;1
614;THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING;1
615;THE_PRINCESS_AND_THE_GOBLIN;1
616;THE_HAUNTED_HOUSE;1
